ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
0,0.002910642,0.000816476,0.000673493,0.001004439,0.000548165,0.000327618,0,0,0.001249187,0.000342318,0.000548761,1,0.11409298464092998,0.000346681,0.059905015698278705
0,0.002910642,0.000816476,0.000673493,0.001004439,0.000548165,0.000327618,0,0,0.001248736,0.00034213,0.000549672,1,0.11409298464092998,0.000346681,0.053224341
0,0.003404749,0.000954741,0.000787565,0.00117446,0.000438532,0.000436824,0,0,0.001459501,0.000399952,0.000641296,1,0.13352013283520137,0.000426684,0.04494855
0,0.003404749,0.000954741,0.000782877,0.00117446,0.000657799,0.000382221,0,0,0.00145981,0.000400225,0.000641391,1,0.13352013283520137,0.00041335,0.04494855
0,0.003893456,0.00109082,0.000900075,0.00134252,0.000511621,0.000436824,0,0,0.001669119,0.000456904,0.000731702,1,0.15207555,0.000460018,0.049934038301433135
0,0.003890756,0.001090274,0.000900075,0.001342128,0.000511621,0.000491427,0,0,0.001669727,0.000457118,0.00073237,1,0.15207555,0.000433351,0.049934038301433135
0,0.004271462,0.001196295,0.000986019,0.001472929,0.000621254,0.000491427,0,0,0.001832405,0.000501271,0.000802676,1,0.1668396291683969,0.000526688,0.05494956
0,0.004271462,0.001196295,0.000986019,0.001472733,0.000548165,0.00054603,0,0,0.001832281,0.000501342,0.000802622,1,0.16685346616853458,0.000533355,0.059965082
0,0.004549566,0.001276631,0.00105165,0.001570588,0.000730887,0.000491427,0.000389408,0,0.001954596,0.000535,0.00085703,1,0.17781928877819375,0.000560022,0.064950571
0,0.004554966,0.001275538,0.001050087,0.001570588,0.00058471,0.000491427,0,0,0.001955332,0.000534652,0.000856155,1,0.17781237027812402,0.000553355,0.05190901
0,0.004749369,0.001332374,0.001098528,0.001639616,0.000877065,0.00054603,0,0,0.002038097,0.000558349,0.000894145,1,0.18585166735851644,0.000580023,0.064950571
0,0.004754769,0.001332374,0.001100091,0.001640008,0.000767432,0.00054603,0.000389408,0,0.002039551,0.000558349,0.000894419,1,0.18584474885844848,0.000580023,0.064950571
0,0.010705655232000864,0.005209813,0.004805085,0.005753855,0.003654436,0.004368243,0.001168224,0.000813008,0.002787104,0.002959857,0.004720487,1,0.22205617822056212,0.00300012,0.096286215
0,0.010711055,0.00520872,0.004805085,0.005754247,0.003654436,0.004477449,0.001168224,0.000813008,0.002787621,0.002959888,0.004718913,1,0.22205617822056212,0.003013454,0.096286215
0,0.012252777665276146,0.005950872,0.005487954,0.006574938,0.00317936,0.005078082,0.001557632,0.001219512,0.003197189,0.003379861,0.005390614,1,0.25541026705410275,0.003466805,0.08420237
0,0.012252777665276146,0.005949779,0.005487954,0.006574741,0.004202602,0.005078082,0.001557632,0.001219512,0.003197458,0.003380383,0.005388557,1,0.25541026705410275,0.003506807,0.090702218
0,0.013718899,0.006654221,0.006134883,0.007353858,0.00376407,0.00556951,0.00194704,0.001219512,0.00358778,0.003777777,0.006020888,1,0.2866265393662655,0.003886822,0.095630871
0,0.013721598963184967,0.006654767,0.00613332,0.007353858,0.003508259,0.005678716,0.001557632,0.001219512,0.003587574,0.003777812,0.006027325,1,0.2866334578663352,0.003820153,0.094207667
0,0.016105734,0.007799145,0.007186533,0.008622056,0.004129513,0.006497761,0.002336449,0.001626016,0.004222811,0.004425124,0.00705838,1,0.33739449287394585,0.004493513,0.10868713879374733
0,0.016116534,0.007800784,0.007189658,0.008621663,0.004056424,0.00666157,0.00194704,0.001626016,0.004223883,0.004425533,0.007057852,1,0.3373875743738761,0.004486846,0.10743419900056968
0,0.017744657297530813,0.008585563,0.007913155,0.009492556,0.004714223,0.007316807,0.002336449,0.001626016,0.004656089,0.004870943,0.007767263,1,0.37282413172824214,0.004880195,0.11639501553387288
0,0.017744657297530813,0.008585016,0.007911593,0.009491968,0.004970034,0.007316807,0.002336449,0.001626016,0.004656506,0.004870381,0.00776574,1,0.37282413172824214,0.005073536,0.11874611790201475
0,0.018981275228490812,0.009178518,0.00845695,0.010170680108342923,0.004970034,0.007644425,0.002336449,0.001626016,0.004986251,0.005205433,0.008303556,1,0.3985886259858873,0.005220209,0.11782621847821027
0,0.018986675306791947,0.009177972,0.00845695,0.010170680108342923,0.005262389,0.007699028,0.00194704,0.001626016,0.004986461,0.005205605,0.008334622,1,0.3985886259858873,0.005246877,0.12324474868981379
0,0.058974255126699335,0.039794165,0.038139096,0.042135451,0.026421576,0.047340832150267555,0.019859813,0.015040650406504066,0.00615552,0.025038854297155827,0.039934308,1,0.4642728656427284,0.024600984039361572,0.008819014
0,0.058987755,0.039794165,0.038142221152689205,0.042135451,0.027262096,0.047286229,0.015576324,0.014634146341463414,0.006160664,0.025039123347460248,0.0399213,1,0.46426594714266045,0.025074336306785603,0.009066546
0,0.06618066,0.044712692,0.042778542598058904,0.047332177,0.030404911562637044,0.053074151,0.015576324,0.017886179,0.006923363,0.028116869966265397,0.04482343,1,0.5220976892209777,0.030254543515073937,0.009779225
0,0.06620766,0.044712692,0.042787918374490384,0.047332177,0.030368367197778107,0.053074151,0.015186915887850467,0.014634146341463414,0.006923022,0.028116869966265397,0.044818253,1,0.5220976892209777,0.027734442711041776,0.010516321916776199
0,0.073900072,0.049904471,0.047747704106746336,0.052725006,0.031428154,0.059244293982745444,0.017523364485981307,0.016666666666666666,0.007728557,0.031274898008617096,0.049877507,1,0.5837761173377611,0.031427923783618014,0.011010742231481982
0,0.073873071,0.049904471,0.047744579,0.052725006,0.032012864,0.059189691,0.024922118380062305,0.019512195,0.007727077,0.031274898008617096,0.049969089,1,0.5837830358378309,0.030967905,0.011010742231481982
0,0.097206809,0.065753059,0.062767698,0.069393752,0.043670516006431806,0.077809326,0.022585669781931463,0.020731707317073172,0.010216633330657367,0.041275320142730804,0.065652347,1,0.7718555417185549,0.040474952,0.00973011
0,0.097187909,0.065753059,0.06276301,0.069393752,0.043524338546996055,0.077754723,0.025700935,0.026422764227642274,0.010217397642780644,0.041275320142730804,0.065652347,1,0.7718693787186943,0.041061642,0.00956593
0,0.11227572799805596,0.075863365,0.072459126,0.080081359,0.04948107,0.089876597,0.035436137,0.029674797,0.011819833,0.047591376227434194,0.075938743,1,0.891517919,0.047095217142019016,0.009396589
0,0.11219472682353894,0.075863365,0.072440374,0.080081359,0.049554159,0.089821994,0.024922118380062305,0.023577235772357725,0.011815870621601977,0.047591376227434194,0.075938743,1,0.8915248374152487,0.048048589,0.009054784
0,0.1257678236334427,0.084880666,0.08117391,0.089788452,0.055218535301856456,0.10068799825270286,0.026090342679127725,0.02804878,0.013260881,0.053381094,0.085082206,1,0.999993081,0.053015454,0.008931724
0,0.12581102425985177,0.084880666,0.08117391,0.089788452,0.05525508,0.10063339521677406,0.027258566978193146,0.027235772,0.013260783718369463,0.053381094,0.085082206,1,1.0000000000000018,0.055028868,0.009049681
0,0.024910561203137442,0.021079715,0.021175191070510527,0.021544647528593763,0.012534717146615993,0.019438681,0.009735202,0.006097561,0.027748043,0.020430306144407738,0.021174014676793584,1,0.10938840459388466,0.019120764830593225,0.29403203957165963
0,0.024910561203137442,0.021079715,0.021175191070510527,0.021544647528593763,0.012973249524923257,0.019438681,0.007788162,0.004878049,0.027745550061210426,0.020431481237168213,0.021173643301317453,1,0.1093745675937452,0.018894089,0.28837076577399184
0,0.031266453,0.026372597026149077,0.026485005789541948,0.026937477,0.015348633240754276,0.024407557060172547,0.008566978,0.005691057,0.033749343,0.025556319119926032,0.026534377405456555,1,0.1393316728933165,0.023560942437697508,0.2943731500364104
0,0.031239452972068094,0.026368772,0.026480317901326204,0.026937477,0.015165911416459583,0.024189144916457357,0.008956386,0.005691057,0.033746986,0.025556108,0.026564959164191906,1,0.1393316728933165,0.023867621371521527,0.2856516002378811
0,0.038694261,0.032689626,0.032712084,0.033310821,0.019112703,0.029977066724909907,0.012461059190031152,0.007723577,0.041245068,0.031538067012146405,0.032709747176912655,1,0.1751902587519023,0.029101164,0.31965184011739783
0,0.038667261,0.032689626,0.032705833,0.033310821,0.019076158,0.030031669760838705,0.017133956386292833,0.010162602,0.041238806,0.031538067012146405,0.032689567223155816,1,0.1751902587519023,0.028781151,0.3152330280542369
0,0.045093354,0.037881404,0.038095342270531775,0.038801702,0.021926618915363252,0.034891339958501695,0.012850467289719626,0.008536585,0.047581459819188814,0.036801447082732565,0.037983950556239765,1,0.20559706655597054,0.033988026187714175,0.2926005605394272
0,0.045047453188071226,0.037881404,0.038082841235289794,0.03870365,0.022401695658529456,0.034836737,0.012850467289719626,0.008130081,0.047582516,0.036801447082732565,0.037947872,1,0.20559706655597054,0.033694681120578156,0.2933601694879757
0,0.050431331254303186,0.042526680278235626,0.042605090734076416,0.043312067936315195,0.024703991,0.039041171,0.015186915887850467,0.010162602,0.052088420494167335,0.041012151139201494,0.042349704,1,0.2321710253217102,0.037821513,0.28744061939486654
0,0.050450232,0.042526680278235626,0.042608216,0.043312067936315195,0.024484724455488965,0.039095773725019115,0.014797507788161994,0.008943089,0.052087466459176585,0.041012151139201494,0.042355215331098345,1,0.2321710253217102,0.038228195794498446,0.2885766949804446
0,0.054948496753202916,0.046352202,0.046428845,0.047234126,0.027554451103639823,0.042754177,0.014797507788161994,0.009349593,0.055761042,0.044696517188611805,0.046109747,1,0.25496748304967554,0.041194981132578634,0.31109441970199586
0,0.054883695813589296,0.046352202,0.046413219,0.047234126,0.027517906738780882,0.042644971,0.021806853582554516,0.013414634146341463,0.055753397,0.044696517188611805,0.046112963,1,0.25496748304967554,0.041468325399682655,0.3090964432326072
0,0.4356918175313542,0.43436935735614945,0.43589078470560844,0.43424317228579884,0.4329776348487063,0.43354810527465326,0.4061526479750779,0.4296747967479675,0.5472718397787204,0.4368183324472808,0.4393914079152064,1,0.28942161339421624,0.4299771990879635,0.000101455
0,0.4356918175313542,0.43436935735614945,0.43589078470560844,0.43424317228579884,0.43326998976757786,0.4328382658075789,0.39641744548286606,0.4186991869918699,0.5466861074665073,0.4368183324472808,0.4393914079152064,1,0.28942161339421624,0.4299771990879635,0.000100435
0,0.5814939316620091,0.5791926619944301,0.582777949,0.5803398227700552,0.5797763484870634,0.5804302719231189,0.618380062,0.5808943089430895,0.7044764029161558,0.5815612843884003,0.582829488,1,0.3906807804068073,0.5766497326559729,5.454363092047382e-05
0,0.5814939316620091,0.5791926619944301,0.582777949,0.5803398227700552,0.581201579,0.5787375778093262,0.5202492211838006,0.5739837398373984,0.70472427,0.5815612843884003,0.582829488,1,0.3906807804068073,0.5699827993119725,5.508366548390281e-05
0,0.7245960066420963,0.7240159666327106,0.7257585393790423,0.7225144155231907,0.7263192515714078,0.723435623,0.735202492,0.7926829268292683,0.821907059,0.7236725462942266,0.7256961017322111,1,0.4902656704026569,0.703321466,3.533791043362945e-05
0,0.7232459870668125,0.7240159666327106,0.7257585393790423,0.7225144155231907,0.7263557959362668,0.7240908594517855,0.7165109034267912,0.7219512195121951,0.821382624,0.7236725462942266,0.7256961017322111,1,0.49025875190258716,0.7199888,3.857629763029757e-05
0,0.7826468483793015,0.781398785,0.781231883,0.7813452814900055,0.7854480339131706,0.7818608714644535,0.7254672897196262,0.8333333333333334,0.8622595602687759,0.7842014171059675,0.7828427472046671,1,0.5307873253078732,0.7799911996479859,3.942684356683933e-05
0,0.7839968679545853,0.781398785,0.781231883,0.7813452814900055,0.7848633240754277,0.7814786502129518,0.7737538940809968,0.8235772357723578,0.8621357109877694,0.7842014171059675,0.7828427472046671,1,0.5307873253078732,0.7833246663199861,5.0579250371673485e-05
0,0.8582479445951966,0.8579092105435738,0.8593633535277141,0.855864378,0.8601812600497004,0.8584143278366277,0.8465732087227414,0.8260162601626017,0.9038938351813722,0.8578887380941738,0.8571333863188599,1,0.5837346063373463,0.8533274664319906,4.9559407329873625e-05
0,0.8582479445951966,0.8579092105435738,0.8593633535277141,0.855864378,0.8556132144423331,0.857813694,0.8014018691588785,0.8878048780487805,0.9038085475249021,0.8578887380941738,0.8571333863188599,1,0.583741525,0.8533274664319906,4.92980809262587e-05
0,1,1,1,1,1.0000000000000002,1,0.963006231,0.9634146341463414,1,1,0.9999999999999999,1,0.6879964023799641,1.0000000000000002,2.815094428470561e-05
0,1,1,1,1,0.9968571846221314,0.9990171453532817,1,1,0.9996832594796267,1,0.9999999999999999,1,0.6879964023799641,0.9966665333279998,2.7511859713568945e-05
0,0.002006129,0.000585305,0.000490666,0.00070852,0.000292355,0.000218412,0,0,0.00085283,0.00025202,0.000396269,1,0.10319634703196456,0.000286678,0.21324050824417223
0,0.002003429,0.000585851,0.000492228,0.000708912,0.000401988,0.000218412,0,0,0.000852518,0.000251706,0.000394585,1,0.10321018403210225,0.000293345,0.20655983324934724
0,0.002392235,0.000696791,0.000585986,0.000844811,0.000511621,0.000273015,0,0,0.001015813,0.00029988,0.000470652,1,0.12179327521793226,0.000366681,0.18508282843893034
0,0.002392235,0.000697338,0.000585986,0.000845007,0.000365444,0.000273015,0,0,0.001016579,0.000299926,0.000469916,1,0.12179327521793226,0.000360014,0.18009733974050757
0,0.002605538,0.000759639,0.000637553,0.000920703,0.000511621,0.000273015,0,0,0.001107422,0.000326741,0.000512436,1,0.1323301508233019,0.000366681,0.2000993607030994
0,0.002608238,0.000760186,0.000637553,0.000920507,0.00058471,0.000327618,0.000389408,0,0.001107445,0.000326367,0.000513847,1,0.13232323232323218,0.000393349,0.1951138719846746
0,0.002848541,0.000831778,0.00069537,0.001007773,0.000511621,0.000327618,0.000389408,0,0.001213725,0.000356801,0.000561096,1,0.14481112494811121,0.000400016,0.27992724606676667
0,0.002853941,0.000831778,0.000696933,0.001007381,0.000657799,0.000327618,0,0,0.001214619,0.00035715,0.000561436,1,0.14481112494811121,0.00041335,0.27992724606676667
0,0.003242747,0.000943811,0.000792253,0.00114426,0.000438532,0.000382221,0,0,0.001378469,0.000404649,0.000636613,1,0.1633734606337356,0.000486686,0.23514794690429952
0,0.003242747,0.000943811,0.00079069,0.001144456,0.000657799,0.000327618,0,0,0.001378125,0.000405292,0.000636222,1,0.1633734606337356,0.000493353,0.23514794690429952
0,0.003572152,0.001039449,0.000870385,0.001260549,0.000694343,0.000382221,0.000389408,0,0.001520875,0.000446026,0.000698909,1,0.17941746229417532,0.000533355,0.20798720426651848
0,0.003574852,0.001039449,0.000871947,0.001260353,0.000803976,0.000436824,0.000389408,0,0.001518773,0.000445776,0.000699121,1,0.17942438079424328,0.000526688,0.26016548959975944
0,0.010948658755551956,0.005409287,0.00500979,0.005940153,0.003617892,0.004586655,0.001557632,0.001219512,0.002834886,0.003075846,0.004768183,1,0.2568977445689775,0.003180127,0.9933293260156462
0,0.010948658755551956,0.00541038,0.005011353,0.00593976,0.004348779,0.004586655,0.001557632,0.001219512,0.002835002,0.003076127,0.004765738,1,0.2568977445689775,0.003226796,0.9999999999999999
0,0.012568682245892566,0.00619953,0.0057411,0.006809084,0.003617892,0.005241891,0.001557632,0.001219512,0.00326372,0.003522248,0.00545496,1,0.2953161754531628,0.003686814,0.001431887
