machine,0_app,1_app,2_app,3_app,4_app,5_app,6_app,7_app,8_app,9_app,10_app,11_app,12_app,13_app,14_app,15_app,16_app,17_app,18_app,19_app,20_app,21_app,22_app,23_app,24_app,25_app,26_app,27_app,28_app,29_app,30_app,0_emb,1_emb,2_emb,3_emb,4_emb,5_emb,6_emb,7_emb,8_emb,9_emb,10_emb,11_emb,12_emb,13_emb,14_emb,15_emb,16_emb,17_emb,18_emb,19_emb,20_emb,21_emb,22_emb,23_emb,24_emb,25_emb,26_emb,27_emb,28_emb,29_emb,30_emb,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,338750000,873982140,129053570,1991053600,20964286,2125000,0,0,0.4375,85097096,14434352,954.8393,19700.49,79553570,1.666,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,367571420,1221375000,196839280,2717107200,43410716,6232143,178571.42,17857.143,0.48214287,154933230,25901012,953.7321,19700.527,130142856,1.5015016,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,420446430,996535740,145250000,2300910600,20732142,2125000,0,0,4.339286,114853550,37772240,955.9286,19701.178,77821430,1.5015016,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,334982140,714446400,97964290,1652285700,23571428,2107142.8,4553571.5,232142.86,0.4375,55457020,40558930,955.9464,19701.188,171107140,1,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,34911500000,72409735000,9245571000,1.66E+11,2619000000,334892860,466178560,126446430,3.8035715,2486610400,1651580000,971.4554,19699.365,19859892000,1.4615384,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,2.74E+11,7.59E+11,1.08E+11,1.67E+12,43201000000,5255803400,10514571000,2118053600,3.830357,44307517000,25359469000,971.4107,19701.035,3.28E+11,1.6442983,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,41140142000,81098120000,10153464000,1.88E+11,2635553500,332071420,489642850,126875000,351.92856,2628856600,1683863600,7089.991,20454.678,19417178000,1.3757154,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,2.43E+11,7.17E+11,1.04E+11,1.56E+12,43236893000,5242375000,10534035000,2116946400,1463.3214,44557940000,25423542000,7092.652,23001.865,3.32E+11,1.6701208,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,196428.58,232142.86,17857.143,625000,0,0,0,0,4.285714,766.1429,576.1696,943.8571,19695.215,0,1,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,758821440,1331964300,157589280,3159982000,30303572,3392857.2,4125000,71428.57,4.339286,45465356,29213790,943.8661,19700.785,243535710,1.2004802,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,7549339000,23154518000,3624107300,51649073000,753357100,112839290,28071428,24839286,5.830357,2695861200,433337860,943.7768,19701.053,2028964200,2,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,4670803500,16366108000,2646125000,35322106000,1249392900,193071420,221750000,53982144,3.892857,907212860,672476000,952.9732,19700.143,6262982000,1.5227056,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,10628946000,24929930000,4030839300,56881037000,904339260,432375000,30285714,13785714,4.241071,1373435400,295478940,952.0357,19701.553,1546482200,1.4390458,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,9667464000,39562050000,6845321000,84382160000,2950321400,514553570,592678600,141767860,7.125,2254861600,1708059600,952.0446,19700.607,16989607000,1.5195882,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
ruby,-1.3070972,-1.8198436,-0.1508242,0.5024411,0.40836945,-0.8174877,0.12566622,-1.010891,-2.6041977,1.7714955,1.4331145,-0.43932924,0.3380843,1.4526027,-1.9712358,1,10481500000,57771840000,10728518000,1.24E+11,2801875000,732357100,142089280,89910710,3.267857,8786590000,1480495600,952.0268,19700.607,7863446500,1.7558082,-0.56874895,-0.9228859,0.058486022,-0.5455915,-0.49105012,-0.40956068,-1.0864904,-0.7890185,0.50867784,0.5372186,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.93115,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.42921,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.93013,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.46431,0.426309,0.027664,0.027797,0.854043,0.85551,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
